Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSG00000244395,RBMY1D,ENSMUSG00000094658,Rbmy
ENSG00000169953,HSFY2,ENSMUSG00000045336,Hsfy2
ENSG00000251970,RNU1-41P,ENSMUSG00002075678,Gm55455
ENSG00000251970,RNU1-41P,ENSMUSG00002075064,Gm55456
ENSG00000252513,RNU1-128P,ENSMUSG00002075678,Gm55455
ENSG00000252513,RNU1-128P,ENSMUSG00002075064,Gm55456
ENSG00000252166,RNU1-95P,ENSMUSG00002075678,Gm55455
ENSG00000252166,RNU1-95P,ENSMUSG00002075064,Gm55456
ENSG00000252209,RNU1-48P,ENSMUSG00002075678,Gm55455
ENSG00000252209,RNU1-48P,ENSMUSG00002075064,Gm55456
ENSG00000012817,KDM5D,ENSMUSG00000056673,Kdm5d
ENSG00000158270,COLEC12,ENSMUSG00000036103,Colec12
ENSG00000172468,HSFY1,ENSMUSG00000045336,Hsfy2
ENSG00000141401,IMPA2,ENSMUSG00000024525,Impa2
ENSG00000176679,TGIF2LY,ENSMUSG00000100133,Tgif2lx1
ENSG00000176679,TGIF2LY,ENSMUSG00000100194,Tgif2lx2
ENSG00000169800,RBMY1F,ENSMUSG00000093987,Gm21704
ENSG00000169800,RBMY1F,ENSMUSG00000095852,Gm10256
ENSG00000169800,RBMY1F,ENSMUSG00000101667,Gm29289
ENSG00000169800,RBMY1F,ENSMUSG00000096520,Gm3376
ENSG00000169800,RBMY1F,ENSMUSG00000102053,Gm4064
ENSG00000169800,RBMY1F,ENSMUSG00000095948,Gm21708
ENSG00000169800,RBMY1F,ENSMUSG00000091987,Gm10352
ENSG00000169800,RBMY1F,ENSMUSG00000094511,Gm21693
ENSG00000169800,RBMY1F,ENSMUSG00000093918,Gm21677
ENSG00000169800,RBMY1F,ENSMUSG00000094658,Rbmy
ENSG00000198445,CCT8L2,ENSMUSG00000038044,Cct8l1
ENSG00000168461,RAB31,ENSMUSG00000056515,Rab31
ENSG00000251996,Y_RNA,ENSMUSG00000064527,Gm26438
ENSG00000252472,RNU6-521P,ENSMUSG00000065714,Gm25652
ENSG00000099917,MED15,ENSMUSG00000012114,Med15
ENSG00000205916,DAZ4,ENSMUSG00000010592,Dazl
ENSG00000176105,YES1,ENSMUSG00000014932,Yes1
ENSG00000166974,MAPRE2,ENSMUSG00000024277,Mapre2
ENSG00000184895,SRY,ENSMUSG00000069036,Sry
ENSG00000197705,KLHL14,ENSMUSG00000042514,Klhl14
ENSG00000067646,ZFY,ENSMUSG00000079509,Zfx
ENSG00000184792,OSBP2,ENSMUSG00000020435,Osbp2
ENSG00000067048,DDX3Y,ENSMUSG00000069045,Ddx3y
ENSG00000178127,NDUFV2,ENSMUSG00000024099,Ndufv2
ENSG00000183878,UTY,ENSMUSG00000068457,Uty
ENSG00000154889,MPPE1,ENSMUSG00000062526,Mppe1
ENSG00000185666,SYN3,ENSMUSG00000059602,Syn3
ENSG00000099985,OSM,ENSMUSG00000058755,Osm
ENSG00000171873,ADRA1D,ENSMUSG00000027335,Adra1d
ENSG00000101282,RSPO4,ENSMUSG00000032852,Rspo4
ENSG00000185721,DRG1,ENSMUSG00000020457,Drg1
ENSG00000125903,DEFB129,ENSMUSG00000074681,Defb23
ENSG00000101280,ANGPT4,ENSMUSG00000027460,Angpt4
ENSG00000101489,CELF4,ENSMUSG00000024268,Celf4
ENSG00000154620,TMSB4Y,ENSMUSG00000049775,Tmsb4x
ENSG00000089012,SIRPG,ENSMUSG00000095028,Sirpb1b
ENSG00000089012,SIRPG,ENSMUSG00000074677,Sirpb1c
ENSG00000089012,SIRPG,ENSMUSG00000078780,Gm5150
ENSG00000089012,SIRPG,ENSMUSG00000078783,Gm9733
ENSG00000089012,SIRPG,ENSMUSG00000037902,Sirpa
ENSG00000089012,SIRPG,ENSMUSG00000095788,Sirpb1a
ENSG00000187191,DAZ3,ENSMUSG00000010592,Dazl
ENSG00000176635,HORMAD2,ENSMUSG00000020419,Hormad2
ENSG00000171984,SHLD1,ENSMUSG00000044991,Shld1
ENSG00000188120,DAZ1,ENSMUSG00000010592,Dazl
ENSG00000125827,TMX4,ENSMUSG00000034723,Tmx4
ENSG00000100225,FBXO7,ENSMUSG00000001786,Fbxo7
ENSG00000149346,SLX4IP,ENSMUSG00000027281,Slx4ip
ENSG00000178591,DEFB125,ENSMUSG00000074680,Defb26
ENSG00000125820,NKX2-2,ENSMUSG00000027434,Nkx2-2
ENSG00000125845,BMP2,ENSMUSG00000027358,Bmp2
ENSG00000101327,PDYN,ENSMUSG00000027400,Pdyn
ENSG00000100365,NCF4,ENSMUSG00000071715,Ncf4
ENSG00000092377,TBL1Y,ENSMUSG00000025246,Tbl1x
ENSG00000125898,FAM110A,ENSMUSG00000027459,Fam110a
ENSG00000173404,INSM1,ENSMUSG00000068154,Insm1
ENSG00000185982,DEFB128,ENSMUSG00000049560,Defb20
ENSG00000132640,BTBD3,ENSMUSG00000062098,Btbd3
ENSG00000205944,DAZ2,ENSMUSG00000010592,Dazl
ENSG00000231824,AKAIN1,ENSMUSG00000091636,Akain1
ENSG00000132874,SLC14A2,ENSMUSG00000024552,Slc14a2
ENSG00000198089,SFI1,ENSMUSG00000023764,Sfi1
ENSG00000017797,RALBP1,ENSMUSG00000024096,Ralbp1
ENSG00000125816,NKX2-4,ENSMUSG00000054160,Nkx2-4
ENSG00000089063,TMEM230,ENSMUSG00000027341,Tmem230
ENSG00000141380,SS18,ENSMUSG00000037013,Ss18
ENSG00000125851,PCSK2,ENSMUSG00000027419,Pcsk2
ENSG00000242389,RBMY1E,ENSMUSG00000093987,Gm21704
ENSG00000242389,RBMY1E,ENSMUSG00000095852,Gm10256
ENSG00000242389,RBMY1E,ENSMUSG00000101667,Gm29289
ENSG00000242389,RBMY1E,ENSMUSG00000096520,Gm3376
ENSG00000242389,RBMY1E,ENSMUSG00000102053,Gm4064
ENSG00000242389,RBMY1E,ENSMUSG00000095948,Gm21708
ENSG00000242389,RBMY1E,ENSMUSG00000091987,Gm10352
ENSG00000242389,RBMY1E,ENSMUSG00000094511,Gm21693
ENSG00000242389,RBMY1E,ENSMUSG00000093918,Gm21677
ENSG00000242389,RBMY1E,ENSMUSG00000094658,Rbmy
ENSG00000125815,CST8,ENSMUSG00000027442,Cst8
ENSG00000101230,ISM1,ENSMUSG00000074766,Ism1
ENSG00000101463,SYNDIG1,ENSMUSG00000074736,Syndig1
ENSG00000101323,HAO1,ENSMUSG00000027261,Hao1
ENSG00000088930,XRN2,ENSMUSG00000027433,Xrn2
ENSG00000252625,RNU1-40P,ENSMUSG00002075678,Gm55455
ENSG00000252625,RNU1-40P,ENSMUSG00002075064,Gm55456
ENSG00000252948,RNU6-1314P,ENSMUSG00000065903,Gm26111
ENSG00000139910,NOVA1,ENSMUSG00000021047,Nova1
ENSG00000100346,CACNA1I,ENSMUSG00000022416,Cacna1i
ENSG00000252681,RNU1-97P,ENSMUSG00002075678,Gm55455
ENSG00000252681,RNU1-97P,ENSMUSG00002075064,Gm55456
ENSG00000099715,PCDH11Y,ENSMUSG00000034755,Pcdh11x
ENSG00000125870,SNRPB2,ENSMUSG00000008333,Snrpb2
ENSG00000211829,TRDC,ENSMUSG00000104876,Trdc
ENSG00000101745,ANKRD12,ENSMUSG00000034647,Ankrd12
ENSG00000251917,RNU1-86P,ENSMUSG00002075678,Gm55455
ENSG00000251917,RNU1-86P,ENSMUSG00002075064,Gm55456
ENSG00000077984,CST7,ENSMUSG00000068129,Cst7
ENSG00000151413,NUBPL,ENSMUSG00000035142,Nubpl
ENSG00000101474,APMAP,ENSMUSG00000033096,Apmap
ENSG00000252426,RNU1-107P,ENSMUSG00002075678,Gm55455
ENSG00000252426,RNU1-107P,ENSMUSG00002075064,Gm55456
ENSG00000152242,C18orf25,ENSMUSG00000047466,8030462N17Rik
ENSG00000125864,BFSP1,ENSMUSG00000027420,Bfsp1
ENSG00000129515,SNX6,ENSMUSG00000005656,Snx6
ENSG00000226941,RBMY1J,ENSMUSG00000093987,Gm21704
ENSG00000226941,RBMY1J,ENSMUSG00000095852,Gm10256
ENSG00000226941,RBMY1J,ENSMUSG00000101667,Gm29289
ENSG00000226941,RBMY1J,ENSMUSG00000096520,Gm3376
ENSG00000226941,RBMY1J,ENSMUSG00000102053,Gm4064
ENSG00000226941,RBMY1J,ENSMUSG00000095948,Gm21708
ENSG00000226941,RBMY1J,ENSMUSG00000091987,Gm10352
ENSG00000226941,RBMY1J,ENSMUSG00000094511,Gm21693
ENSG00000226941,RBMY1J,ENSMUSG00000093918,Gm21677
ENSG00000226941,RBMY1J,ENSMUSG00000094658,Rbmy
ENSG00000154839,SKA1,ENSMUSG00000036223,Ska1
ENSG00000149435,GGTLC1,ENSMUSG00000006345,Ggt1
ENSG00000141425,RPRD1A,ENSMUSG00000040446,Rprd1a
ENSG00000242875,RBMY1B,ENSMUSG00000093987,Gm21704
ENSG00000242875,RBMY1B,ENSMUSG00000095852,Gm10256
ENSG00000242875,RBMY1B,ENSMUSG00000101667,Gm29289
ENSG00000242875,RBMY1B,ENSMUSG00000096520,Gm3376
ENSG00000242875,RBMY1B,ENSMUSG00000102053,Gm4064
ENSG00000242875,RBMY1B,ENSMUSG00000095948,Gm21708
ENSG00000242875,RBMY1B,ENSMUSG00000091987,Gm10352
ENSG00000242875,RBMY1B,ENSMUSG00000094511,Gm21693
ENSG00000242875,RBMY1B,ENSMUSG00000093918,Gm21677
ENSG00000242875,RBMY1B,ENSMUSG00000094658,Rbmy
ENSG00000100354,TNRC6B,ENSMUSG00000047888,Tnrc6b
ENSG00000125868,DSTN,ENSMUSG00000015932,Dstn
ENSG00000087301,TXNDC16,ENSMUSG00000021830,Txndc16
ENSG00000234414,RBMY1A1,ENSMUSG00000093987,Gm21704
ENSG00000234414,RBMY1A1,ENSMUSG00000095852,Gm10256
ENSG00000234414,RBMY1A1,ENSMUSG00000101667,Gm29289
ENSG00000234414,RBMY1A1,ENSMUSG00000096520,Gm3376
ENSG00000234414,RBMY1A1,ENSMUSG00000102053,Gm4064
ENSG00000234414,RBMY1A1,ENSMUSG00000095948,Gm21708
ENSG00000234414,RBMY1A1,ENSMUSG00000091987,Gm10352
ENSG00000234414,RBMY1A1,ENSMUSG00000094511,Gm21693
ENSG00000234414,RBMY1A1,ENSMUSG00000093918,Gm21677
ENSG00000234414,RBMY1A1,ENSMUSG00000094658,Rbmy
ENSG00000125834,STK35,ENSMUSG00000037885,Stk35
ENSG00000152214,RIT2,ENSMUSG00000057455,Rit2
ENSG00000215397,SCRT2,ENSMUSG00000060257,Scrt2
ENSG00000232948,DEFB130A,ENSMUSG00000075573,Defb47
ENSG00000198646,NCOA6,ENSMUSG00000038369,Ncoa6
ENSG00000253958,CLDN23,ENSMUSG00000055976,Cldn23
ENSG00000164821,DEFA4,ENSMUSG00000064213,Defa24
ENSG00000164821,DEFA4,ENSMUSG00000074439,Defa5
ENSG00000164821,DEFA4,ENSMUSG00000082211,Defa27
ENSG00000164821,DEFA4,ENSMUSG00000074443,Defa22
ENSG00000164821,DEFA4,ENSMUSG00000060070,Defa26
ENSG00000164821,DEFA4,ENSMUSG00000060208,Defa17
ENSG00000164821,DEFA4,ENSMUSG00000079114,Defa42
ENSG00000164821,DEFA4,ENSMUSG00000074444,Defa30
ENSG00000164821,DEFA4,ENSMUSG00000094818,Defa32
ENSG00000164821,DEFA4,ENSMUSG00000074442,Defa31
ENSG00000164821,DEFA4,ENSMUSG00000074440,Defa3
ENSG00000164821,DEFA4,ENSMUSG00000094362,Defa33
ENSG00000164821,DEFA4,ENSMUSG00000074447,Defa21
ENSG00000164821,DEFA4,ENSMUSG00000058618,Defa39
ENSG00000164821,DEFA4,ENSMUSG00000074441,Defa40
ENSG00000164821,DEFA4,ENSMUSG00000061845,Defa35
ENSG00000164821,DEFA4,ENSMUSG00000074437,Defa29
ENSG00000164821,DEFA4,ENSMUSG00000074434,Defa28
ENSG00000164821,DEFA4,ENSMUSG00000079113,Defa43
ENSG00000164821,DEFA4,ENSMUSG00000095066,Defa20
ENSG00000164821,DEFA4,ENSMUSG00000079116,Defa41
ENSG00000164821,DEFA4,ENSMUSG00000094687,Defa25
ENSG00000164821,DEFA4,ENSMUSG00000063206,Defa34
ENSG00000164821,DEFA4,ENSMUSG00000065956,Defa37
ENSG00000164821,DEFA4,ENSMUSG00000096295,Defa2
ENSG00000164821,DEFA4,ENSMUSG00000079120,AY761185
ENSG00000164821,DEFA4,ENSMUSG00000061958,Defa38
ENSG00000164821,DEFA4,ENSMUSG00000074446,Defa23
ENSG00000164821,DEFA4,ENSMUSG00000094662,Defa36
ENSG00000212710,CTAGE1,ENSMUSG00000021000,Mia2
ENSG00000173281,PPP1R3B,ENSMUSG00000046794,Ppp1r3b
ENSG00000134489,HRH4,ENSMUSG00000037346,Hrh4
ENSG00000175329,ISX,ENSMUSG00000031621,Isx
ENSG00000154646,TMPRSS15,ENSMUSG00000022857,Tmprss15
ENSG00000256590,TRDV3,ENSMUSG00000076873,Trdv5
ENSG00000173273,TNKS,ENSMUSG00000031529,Tnks
ENSG00000168229,PTGDR,ENSMUSG00000071489,Ptgdr
ENSG00000101773,RBBP8,ENSMUSG00000041238,Rbbp8
ENSG00000100294,MCAT,ENSMUSG00000048755,Mcat
ENSG00000189139,FSCB,ENSMUSG00000043060,Fscb
ENSG00000073712,FERMT2,ENSMUSG00000037712,Fermt2
ENSG00000100170,SLC5A1,ENSMUSG00000011034,Slc5a1
ENSG00000176177,ENTHD1,ENSMUSG00000050439,Enthd1
ENSG00000088782,DEFB127,ENSMUSG00000027468,Defb22
ENSG00000154639,CXADR,ENSMUSG00000022865,Cxadr
ENSG00000128342,LIF,ENSMUSG00000034394,Lif
ENSG00000172296,SPTLC3,ENSMUSG00000039092,Sptlc3
ENSG00000100307,CBX7,ENSMUSG00000053411,Cbx7
ENSG00000131069,ACSS2,ENSMUSG00000027605,Acss2
ENSG00000100344,PNPLA3,ENSMUSG00000041653,Pnpla3
ENSG00000154359,LONRF1,ENSMUSG00000039633,Lonrf1
ENSG00000186976,EFCAB6,ENSMUSG00000022441,Efcab6
ENSG00000156253,RWDD2B,ENSMUSG00000041079,Rwdd2b
ENSG00000168234,TTC39C,ENSMUSG00000024424,Ttc39c
ENSG00000129480,DTD2,ENSMUSG00000020956,Dtd2
ENSG00000100519,PSMC6,ENSMUSG00000021832,Psmc6
ENSG00000175806,MSRA,ENSMUSG00000054733,Msra
ENSG00000187323,DCC,ENSMUSG00000060534,Dcc
ENSG00000054611,TBC1D22A,ENSMUSG00000051864,Tbc1d22a
ENSG00000134020,PEBP4,ENSMUSG00000022085,Pebp4
ENSG00000141639,MAPK4,ENSMUSG00000024558,Mapk4
ENSG00000184647,PRSS55,ENSMUSG00000034623,Prss55
ENSG00000275591,XKR5,ENSMUSG00000039814,Xkr5
ENSG00000180998,GPR137C,ENSMUSG00000049092,Gpr137c
ENSG00000141622,RNF165,ENSMUSG00000025427,Rnf165
ENSG00000126773,PCNX4,ENSMUSG00000034501,Pcnx4
ENSG00000253649,PRSS51,ENSMUSG00000052099,Prss51
ENSG00000275342,PRAG1,ENSMUSG00000050271,Prag1
ENSG00000134042,MRO,ENSMUSG00000064036,Mro
ENSG00000168546,GFRA2,ENSMUSG00000022103,Gfra2
ENSG00000142207,URB1,ENSMUSG00000039929,Urb1
ENSG00000126778,SIX1,ENSMUSG00000051367,Six1
ENSG00000154001,PPP2R5E,ENSMUSG00000021051,Ppp2r5e
ENSG00000215547,DEFB115,ENSMUSG00000074679,Defb28
ENSG00000164741,DLC1,ENSMUSG00000031523,Dlc1
ENSG00000154721,JAM2,ENSMUSG00000053062,Jam2
ENSG00000067900,ROCK1,ENSMUSG00000024290,Rock1
ENSG00000156256,USP16,ENSMUSG00000025616,Usp16
ENSG00000100426,ZBED4,ENSMUSG00000034333,Zbed4
ENSG00000056487,PHF21B,ENSMUSG00000016624,Phf21b
ENSG00000078804,TP53INP2,ENSMUSG00000038375,Trp53inp2
ENSG00000177511,ST8SIA3,ENSMUSG00000056812,St8sia3
ENSG00000176641,RNF152,ENSMUSG00000047496,Rnf152
ENSG00000101384,JAG1,ENSMUSG00000027276,Jag1
ENSG00000166510,CCDC68,ENSMUSG00000038903,Ccdc68
ENSG00000175387,SMAD2,ENSMUSG00000024563,Smad2
ENSG00000198252,STYX,ENSMUSG00000071748,Styx-ps
ENSG00000198252,STYX,ENSMUSG00000053205,Styx
ENSG00000164151,ICE1,ENSMUSG00000034525,Ice1
ENSG00000100316,RPL3,ENSMUSG00000060036,Rpl3
ENSG00000185053,SGCZ,ENSMUSG00000039539,Sgcz
ENSG00000126790,L3HYPDH,ENSMUSG00000019718,L3hypdh
ENSG00000156282,CLDN17,ENSMUSG00000055811,Cldn17
ENSG00000166265,CYYR1,ENSMUSG00000041134,Cyyr1
ENSG00000089057,SLC23A2,ENSMUSG00000027340,Slc23a2
ENSG00000145536,ADAMTS16,ENSMUSG00000049538,Adamts16
ENSG00000147324,MFHAS1,ENSMUSG00000070056,Mfhas1
ENSG00000243927,MRPS6,ENSMUSG00000039680,Mrps6
ENSG00000179008,C14orf39,ENSMUSG00000021098,4930447C04Rik
ENSG00000254093,PINX1,ENSMUSG00000021958,Pinx1
ENSG00000188694,KRTAP24-1,ENSMUSG00000050239,Krtap24-1
ENSG00000198743,SLC5A3,ENSMUSG00000089774,Slc5a3
ENSG00000159259,CHAF1B,ENSMUSG00000022945,Chaf1b
ENSG00000198791,CNOT7,ENSMUSG00000031601,Cnot7
ENSG00000184302,SIX6,ENSMUSG00000021099,Six6
ENSG00000171421,MRPL36,ENSMUSG00000021607,Mrpl36
ENSG00000100625,SIX4,ENSMUSG00000034460,Six4
ENSG00000041353,RAB27B,ENSMUSG00000024511,Rab27b
ENSG00000124279,FASTKD3,ENSMUSG00000021532,Fastkd3
ENSG00000101435,CST9L,ENSMUSG00000027446,Cstdc2
ENSG00000101435,CST9L,ENSMUSG00000027445,Cst9
ENSG00000156304,SCAF4,ENSMUSG00000022983,Scaf4
ENSG00000075218,GTSE1,ENSMUSG00000022385,Gtse1
ENSG00000091164,TXNL1,ENSMUSG00000024583,Txnl1
ENSG00000100614,PPM1A,ENSMUSG00000021096,Ppm1a
ENSG00000078295,ADCY2,ENSMUSG00000021536,Adcy2
ENSG00000089123,TASP1,ENSMUSG00000039033,Tasp1
ENSG00000184708,EIF4ENIF1,ENSMUSG00000020454,Eif4enif1
ENSG00000179388,EGR3,ENSMUSG00000033730,Egr3
ENSG00000151838,CCDC175,ENSMUSG00000021086,Ccdc175
ENSG00000132792,CTNNBL1,ENSMUSG00000027649,Ctnnbl1
ENSG00000134030,CTIF,ENSMUSG00000052928,Ctif
ENSG00000221818,EBF2,ENSMUSG00000022053,Ebf2
ENSG00000100612,DHRS7,ENSMUSG00000021094,Dhrs7
ENSG00000100612,DHRS7,ENSMUSG00000109482,Gm4756
ENSG00000183654,MARCHF11,ENSMUSG00000022269,Marchf11
ENSG00000104714,ERICH1,ENSMUSG00000051978,Erich1
ENSG00000113430,IRX4,ENSMUSG00000021604,Irx4
ENSG00000100731,PCNX1,ENSMUSG00000021140,Pcnx
ENSG00000155975,VPS37A,ENSMUSG00000031600,Vps37a
ENSG00000082212,ME2,ENSMUSG00000024556,Me2
ENSG00000156261,CCT8,ENSMUSG00000025613,Cct8
ENSG00000164743,C8orf48,ENSMUSG00000074384,AI429214
ENSG00000112902,SEMA5A,ENSMUSG00000022231,Sema5a
ENSG00000159167,STC1,ENSMUSG00000014813,Stc1
ENSG00000180205,WFDC9,ENSMUSG00000074594,Wfdc9
ENSG00000104228,TRIM35,ENSMUSG00000022043,Trim35
ENSG00000149639,SOGA1,ENSMUSG00000055485,Soga1
ENSG00000198042,MAK16,ENSMUSG00000031578,Mak16
ENSG00000145555,MYO10,ENSMUSG00000022272,Myo10
ENSG00000180305,WFDC10A,ENSMUSG00000070529,Wfdc10
ENSG00000175445,LPL,ENSMUSG00000015568,Lpl
ENSG00000141441,GAREM1,ENSMUSG00000042680,Garem1
ENSG00000188064,WNT7B,ENSMUSG00000022382,Wnt7b
ENSG00000179600,GPHB5,ENSMUSG00000048982,Gphb5
ENSG00000154654,NCAM2,ENSMUSG00000022762,Ncam2
ENSG00000101445,PPP1R16B,ENSMUSG00000037754,Ppp1r16b
ENSG00000020426,MNAT1,ENSMUSG00000021103,Mnat1
ENSG00000100347,SAMM50,ENSMUSG00000022437,Samm50
ENSG00000147421,HMBOX1,ENSMUSG00000021972,Hmbox1
ENSG00000184828,ZBTB7C,ENSMUSG00000044646,Zbtb7c
ENSG00000198862,LTN1,ENSMUSG00000052299,Ltn1
ENSG00000149633,KIAA1755,ENSMUSG00000037813,D630003M21Rik
ENSG00000267909,CCDC177,ENSMUSG00000062961,Ccdc177
ENSG00000179476,C14orf28,ENSMUSG00000047227,Gm527
ENSG00000119599,DCAF4,ENSMUSG00000021222,Dcaf4
ENSG00000101452,DHX35,ENSMUSG00000027655,Dhx35
ENSG00000075234,TTC38,ENSMUSG00000035944,Ttc38
ENSG00000156006,NAT2,ENSMUSG00000051147,Nat2
ENSG00000156006,NAT2,ENSMUSG00000056426,Nat3
ENSG00000156006,NAT2,ENSMUSG00000025588,Nat1
ENSG00000171056,SOX7,ENSMUSG00000063060,Sox7
ENSG00000156284,CLDN8,ENSMUSG00000050520,Cldn8
ENSG00000228075,BOD1L2,ENSMUSG00000044502,Bod1
ENSG00000222018,C21orf140,ENSMUSG00000051728,Fam243
ENSG00000101782,RIOK3,ENSMUSG00000024404,Riok3
ENSG00000036565,SLC18A1,ENSMUSG00000036330,Slc18a1
ENSG00000100372,SLC25A17,ENSMUSG00000022404,Slc25a17
ENSG00000142149,HUNK,ENSMUSG00000053414,Hunk
ENSG00000050130,JKAMP,ENSMUSG00000005078,Jkamp
ENSG00000050130,JKAMP,ENSMUSG00000056197,Jkampl
ENSG00000154642,C21orf91,ENSMUSG00000022864,D16Ertd472e
ENSG00000141665,FBXO15,ENSMUSG00000034391,Fbxo15
ENSG00000124191,TOX2,ENSMUSG00000074607,Tox2
ENSG00000100106,TRIOBP,ENSMUSG00000033088,Triobp
ENSG00000159256,MORC3,ENSMUSG00000039456,Morc3
ENSG00000141458,NPC1,ENSMUSG00000024413,Npc1
ENSG00000124275,MTRR,ENSMUSG00000034617,Mtrr
ENSG00000064655,EYA2,ENSMUSG00000017897,Eya2
ENSG00000126785,RHOJ,ENSMUSG00000046768,Rhoj
ENSG00000159086,PAXBP1,ENSMUSG00000022974,Paxbp1
ENSG00000180008,SOCS4,ENSMUSG00000048379,Socs4
ENSG00000140015,KCNH5,ENSMUSG00000034402,Kcnh5
ENSG00000141437,SLC25A52,ENSMUSG00000045973,Slc25a51
ENSG00000172466,ZNF24,ENSMUSG00000051469,Zfp24
ENSG00000172728,FUT10,ENSMUSG00000046152,Fut10
ENSG00000100304,TTLL12,ENSMUSG00000016757,Ttll12
ENSG00000100647,SUSD6,ENSMUSG00000021133,Susd6
ENSG00000166562,SEC11C,ENSMUSG00000024516,Sec11c
ENSG00000156687,UNC5D,ENSMUSG00000063626,Unc5d
ENSG00000215217,C5orf49,ENSMUSG00000021534,1700001L19Rik
ENSG00000081138,CDH7,ENSMUSG00000026312,Cdh7
ENSG00000129521,EGLN3,ENSMUSG00000035105,Egln3
ENSG00000180083,WFDC11,ENSMUSG00000078940,Wfdc11
ENSG00000186654,PRR5,ENSMUSG00000036106,Prr5
