source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P01148,Q9UQM7,True,False,True,True,False,1,SPIKE:12810529,SPIKE,post_translational,12810529,1,1,1,ligand,ligand,CellTalkDB;OmniPath,generic,functional,resource_specific,P01148,GNRH1,protein,15,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q9UQM7,CAMK2A,protein,1,False,True,False,False,False
P27482,Q9UQM7,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P27482,CALML3,protein,1,True,False,False,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q9UQM7,CAMK2A,protein,1,False,True,False,False,False
P29350,P29475,False,False,False,False,False,2,DEPOD:11511520;HPRD:11511520,DEPOD;HPRD,post_translational,11511520,1,2,2,ligand,ligand,talklr;Cellinker;scConnect;connectomeDB2020;Matrisome;CellCall;iTALK;EMBRACE;HGNC;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P29350,PTPN6,protein,2,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P29475,NOS1,protein,1,False,True,False,False,False
P23560,P29475,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P23560,BDNF,protein,20,True,False,True,False,False,receptor,receptor,CellCellInteractions;OmniPath,generic,functional,resource_specific,P29475,NOS1,protein,1,False,True,False,False,False
P01583,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,CellCellInteractions;OmniPath,generic,functional,resource_specific,P01583,IL1A,protein,20,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P05305,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P05305,EDN1,protein,17,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P01160,Q08828,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01160,NPPA,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;Zhong2015;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P01185,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01185,AVP,protein,15,True,False,True,False,False,receptor,receptor,talklr;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P01282,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01282,VIP,protein,16,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P61278,Q08828,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P61278,SST,protein,16,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P01270,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01270,PTH,protein,12,True,False,True,False,False,receptor,receptor,CellTalkDB;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P27482,Q08828,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P27482,CALML3,protein,1,True,False,False,False,False,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,Q08828,ADCY1,protein,8,False,True,False,False,False
P06241,Q12879,True,False,True,True,False,11,CA1:11677266;CA1:9670010;CA1:9892651;HPRD:10458595;HPRD:12932824;PhosphoSite:19834457;ProtMapper:10195142;ProtMapper:19834457;SIGNOR:10195142;SIGNOR:19834457;iPTMnet:19834457,CA1;HPRD;HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet,post_translational,10195142;10458595;11677266;12932824;19834457;9670010;9892651,7,14,9,ligand,ligand,OmniPath,generic,functional,resource_specific,P06241,FYN,protein,2,True,False,False,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q12879,GRIN2A,protein,6,False,True,False,False,False
Q14005,Q12879,False,False,False,False,False,2,CellTalkDB:32103204;HPRD:10479680,CellPhoneDB;CellTalkDB;HPRD;I2D_CellPhoneDB,post_translational,10479680;32103204,2,4,3,ligand,ligand,,generic,functional,resource_specific,Q14005,IL16,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q12879,GRIN2A,protein,6,False,True,False,False,False
P06241,Q14643,True,False,True,True,False,10,HPRD:14761954;KEA:14761954;NetPath:8633244;PhosphoSite:14761954;PhosphoSite:18056410;ProtMapper:14761954;ProtMapper:28598420;SIGNOR:14761954;iPTMnet:14761954;phosphoELM:14761954,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetPath;PhosphoNetworks;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,14761954;18056410;28598420;8633244,4,23,12,ligand,ligand,OmniPath,generic,functional,resource_specific,P06241,FYN,protein,2,True,False,False,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14643,ITPR1,protein,1,False,True,False,False,False
P13236,Q9NQ66,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,CellChatDB;OmniPath,generic,functional,resource_specific,P13236,CCL4,protein,19,True,False,True,False,False,receptor,receptor,CellCellInteractions;GO_Intercell;OmniPath,generic,functional,resource_specific,Q9NQ66,PLCB1,protein,1,False,True,False,False,False
P48061,Q9NQ66,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P48061,CXCL12,protein,20,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,Q9NQ66,PLCB1,protein,1,False,True,False,False,False
P01019,Q9NQ66,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01019,AGT,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q9NQ66,PLCB1,protein,1,False,True,False,False,False
P51671,Q9NQ66,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P51671,CCL11,protein,19,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q9NQ66,PLCB1,protein,1,False,True,False,False,False
P05305,Q9NQ66,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P05305,EDN1,protein,17,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,Q9NQ66,PLCB1,protein,1,False,True,False,False,False
P04637,P53355,True,False,False,False,False,1,SPIKE:15608685,SPIKE,post_translational,15608685,1,1,1,ligand,ligand,OmniPath,generic,functional,resource_specific,P04637,TP53,protein,1,True,False,False,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P53355,DAPK1,protein,1,False,True,False,False,False
O95631,P53355,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,O95631,NTN1,protein,10,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P53355,DAPK1,protein,1,False,True,False,False,False
P10721,P01111,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,Cellinker;OmniPath,generic,functional,resource_specific,P10721,KIT,protein,1,True,False,False,True,False,receptor,receptor,DGIdb;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P01133,P01111,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,CellChatDB;Cellinker;GO_Intercell;Ramilowski_location;UniProt_location;OmniPath,generic,functional,resource_specific,P01133,EGF,protein,19,True,False,True,True,False,receptor,receptor,GO_Intercell;Ramilowski_location;Zhong2015;HGNC;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
Q06124,P01111,True,False,True,True,False,2,ProtMapper:26617336;SIGNOR:26617336,ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang,post_translational,26617336,1,4,3,ligand,ligand,talklr;Cellinker;scConnect;connectomeDB2020;Matrisome;CellCall;iTALK;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;OmniPath,generic,functional,resource_specific,Q06124,PTPN11,protein,1,True,False,False,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P60568,P01111,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P60568,IL2,protein,21,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P01127,P01111,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01127,PDGFB,protein,18,True,False,True,False,False,receptor,receptor,Cellinker;Zhong2015;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
Q15768,P01111,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,Q15768,EFNB3,protein,8,True,False,False,True,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P52799,P01111,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P52799,EFNB2,protein,8,True,False,False,True,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P20783,P01111,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P20783,NTF3,protein,20,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P98172,P01111,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P98172,EFNB1,protein,9,True,False,False,True,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P17931,P01111,False,True,True,False,True,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P17931,LGALS3,protein,5,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
Q15109,P01111,True,False,True,True,False,0,,KEGG-MEDICUS,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,Q15109,AGER,protein,1,True,False,True,True,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
O43559,P01111,True,False,True,True,False,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,O43559,FRS3,protein,1,True,False,True,False,False,receptor,receptor,GO_Intercell;OmniPath,generic,functional,resource_specific,P01111,NRAS,protein,1,False,True,False,False,False
P23297,P21817,False,False,False,False,False,2,CellTalkDB:18650434;HPRD:9298970,CellTalkDB;HPRD,post_translational,18650434;9298970,2,2,2,ligand,ligand,,generic,functional,resource_specific,P23297,S100A1,protein,2,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P21817,RYR1,protein,3,False,True,False,False,False
P78417,P21817,False,False,False,False,False,1,CellTalkDB:11035031,CellTalkDB,post_translational,11035031,1,1,1,ligand,ligand,,generic,functional,resource_specific,P78417,GSTO1,protein,1,True,False,False,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P21817,RYR1,protein,3,False,True,False,False,False
Q07325,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,connectomeDB2020;CellChatDB;CellPhoneDB;OmniPath,generic,functional,resource_specific,Q07325,CXCL9,protein,18,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P13501,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,connectomeDB2020;Baccin2019;OmniPath,generic,functional,resource_specific,P13501,CCL5,protein,19,True,False,True,False,False,receptor,receptor,GO_Intercell;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P02778,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,talklr;Cellinker;scConnect;connectomeDB2020;Matrisome;CellCall;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P02778,CXCL10,protein,19,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
O14625,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,O14625,CXCL11,protein,17,True,False,True,False,False,receptor,receptor,Ramilowski_location;UniProt_location;UniProt_keyword;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P48061,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P48061,CXCL12,protein,20,True,False,True,False,False,receptor,receptor,DGIdb;HGNC;Almen2009;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
Q99731,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q99731,CCL19,protein,17,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
O00585,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,O00585,CCL21,protein,18,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
O15444,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,O15444,CCL25,protein,20,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
Q9ULZ1,Q14831,False,False,False,False,False,8,CellTalkDB:32196115;LRdb:10617103;LRdb:10777510;LRdb:11336787;LRdb:12603839;LRdb:12939143;LRdb:15341513;LRdb:9792798,CellTalkDB;LRdb;Reactome_LRdb,post_translational,10617103;10777510;11336787;12603839;12939143;15341513;32196115;9792798,8,3,2,ligand,ligand,,generic,functional,resource_specific,Q9ULZ1,APLN,protein,14,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P01019,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01019,AGT,protein,16,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P01042,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01042,KNG1,protein,13,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
P55773,Q14831,False,False,False,False,False,0,,LRdb;Reactome_LRdb,post_translational,,,2,1,ligand,ligand,,generic,functional,resource_specific,P55773,CCL23,protein,17,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
Q9Y4X3,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q9Y4X3,CCL27,protein,17,True,False,True,False,False,receptor,receptor,iTALK;CellCellInteractions;GO_Intercell;CellTalkDB;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
Q9NRJ3,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q9NRJ3,CCL28,protein,19,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
O15467,Q14831,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,O15467,CCL16,protein,17,True,False,True,False,False,receptor,receptor,Cellinker;scConnect;connectomeDB2020;CellCellInteractions;CellPhoneDB;GO_Intercell;Baccin2019;OmniPath,generic,functional,resource_specific,Q14831,GRM7,protein,8,False,True,False,True,False
